id,en,zh,phonetic,category,emoji,draw
dog,dog,狗,/dɒɡ/,animals,1f436,
cat,cat,猫,/kæt/,animals,1f431,
mouse,mouse,老鼠,/maʊs/,animals,1f42d,
rabbit,rabbit,兔子,/ˈræbɪt/,animals,1f430,
fox,fox,狐狸,/fɒks/,animals,1f98a,
bear,bear,熊,/beər/,animals,1f43b,
pig,pig,猪,/pɪɡ/,animals,1f437,
cow,cow,奶牛,/kaʊ/,animals,1f42e,
frog,frog,青蛙,/frɒɡ/,animals,1f438,
monkey,monkey,猴子,/ˈmʌŋki/,animals,1f435,
lion,lion,狮子,/ˈlaɪən/,animals,1f981,
tiger,tiger,老虎,/ˈtaɪɡər/,animals,1f42f,
koala,koala,考拉,/kəʊˈɑːlə/,animals,1f428,
chicken,chicken,小鸡,/ˈtʃɪkɪn/,animals,1f414,
duck,duck,鸭子,/dʌk/,animals,1f986,
owl,owl,猫头鹰,/aʊl/,animals,1f989,
horse,horse,小马,/hɔːs/,animals,1f434,
bee,bee,蜜蜂,/biː/,animals,1f41d,
ladybug,ladybug,瓢虫,/ˈleɪdibʌɡ/,animals,1f41e,
elephant,elephant,大象,/ˈelɪfənt/,animals,1f418,
sheep,sheep,绵羊,/ʃiːp/,animals,1f411,
goat,goat,山羊,/ɡəʊt/,animals,1f410,
hamster,hamster,仓鼠,/ˈhæmstər/,animals,1f439,
wolf,wolf,狼,/wʊlf/,animals,1f43a,
kangaroo,kangaroo,袋鼠,/ˌkæŋɡəˈruː/,animals,1f998,
camel,camel,骆驼,/ˈkæml/,animals,1f42a,
giraffe,giraffe,长颈鹿,/dʒəˈrɑːf/,animals,1f992,
zebra,zebra,斑马,/ˈzebrə/,animals,1f993,
hippo,hippo,河马,/ˈhɪpəʊ/,animals,1f99b,
rhino,rhino,犀牛,/ˈraɪnəʊ/,animals,1f98f,
deer,deer,梅花鹿,/dɪər/,animals,1f98c,
gorilla,gorilla,大猩猩,/ɡəˈrɪlə/,animals,1f98d,
crocodile,crocodile,鳄鱼,/ˈkrɒkədaɪl/,animals,1f40a,
snake,snake,蛇,/sneɪk/,animals,1f40d,
turtle,turtle,海龟,/ˈtɜːtl/,animals,1f422,
penguin,penguin,企鹅,/ˈpeŋɡwɪn/,animals,1f427,
dolphin,dolphin,海豚,/ˈdɒlfɪn/,animals,1f42c,
whale,whale,鲸鱼,/weɪl/,animals,1f433,
shark,shark,鲨鱼,/ʃɑːk/,animals,1f988,
octopus,octopus,章鱼,/ˈɒktəpəs/,animals,1f419,
crab,crab,螃蟹,/kræb/,animals,1f980,
seal,seal,海豹,/siːl/,animals,1f9ad,
snail,snail,蜗牛,/sneɪl/,animals,1f40c,
butterfly,butterfly,蝴蝶,/ˈbʌtəflaɪ/,animals,1f98b,
flamingo,flamingo,火烈鸟,/fləˈmɪŋɡəʊ/,animals,1f9a9,
turkey,turkey,火鸡,/ˈtɜːki/,animals,1f983,
swan,swan,天鹅,/swɒn/,animals,1f9a2,
parrot,parrot,鹦鹉,/ˈpærət/,animals,1f99c,
hedgehog,hedgehog,刺猬,/ˈhedʒhɒɡ/,animals,1f994,
squirrel,squirrel,松鼠,/ˈskwɜːrəl/,animals,1f43f_fe0f,
apple,apple,苹果,/ˈæpl/,fruits,1f34e,
banana,banana,香蕉,/bəˈnɑːnə/,fruits,1f34c,
grapes,grapes,葡萄,/ɡreɪps/,fruits,1f347,
strawberry,strawberry,草莓,/ˈstrɔːbəri/,fruits,1f353,
watermelon,watermelon,西瓜,/ˈwɔːtəmelən/,fruits,1f349,
peach,peach,桃子,/piːtʃ/,fruits,1f351,
pineapple,pineapple,菠萝,/ˈpaɪnæpl/,fruits,1f34d,
cherry,cherry,樱桃,/ˈtʃeri/,fruits,1f352,
mango,mango,芒果,/ˈmæŋɡəʊ/,fruits,1f96d,
coconut,coconut,椰子,/ˈkəʊkənʌt/,fruits,1f965,
kiwi,kiwi,猕猴桃,/ˈkiːwiː/,fruits,1f95d,
pear,pear,梨,/peər/,fruits,1f350,
blueberry,blueberry,蓝莓,/ˈbluːbəri/,fruits,1fad0,
lemon,lemon,柠檬,/ˈlemən/,fruits,1f34b,
melon,melon,甜瓜,/ˈmelən/,fruits,1f348,
avocado,avocado,牛油果,/ˌævəˈkɑːdəʊ/,fruits,1f951,
carrot,carrot,胡萝卜,/ˈkærət/,vegetables,1f955,
corn,corn,玉米,/kɔːn/,vegetables,1f33d,
tomato,tomato,番茄,/təˈmɑːtəʊ/,vegetables,1f345,
broccoli,broccoli,西兰花,/ˈbrɒkəli/,vegetables,1f966,
potato,potato,土豆,/pəˈteɪtəʊ/,vegetables,1f954,
cucumber,cucumber,黄瓜,/ˈkjuːkʌmbər/,vegetables,1f952,
eggplant,eggplant,茄子,/ˈeɡplɑːnt/,vegetables,1f346,
pepper,pepper,辣椒,/ˈpepər/,vegetables,1f336_fe0f,
onion,onion,洋葱,/ˈʌnjən/,vegetables,1f9c5,
garlic,garlic,大蒜,/ˈɡɑːlɪk/,vegetables,1f9c4,
mushroom,mushroom,蘑菇,/ˈmʌʃruːm/,vegetables,1f344,
pumpkin,pumpkin,南瓜,/ˈpʌmpkɪn/,vegetables,1f383,
lettuce,lettuce,生菜,/ˈletɪs/,vegetables,1f96c,
peanut,peanut,花生,/ˈpiːnʌt/,vegetables,1f95c,
