char,pinyin,word,level
一,yī,一起,1
二,èr,二月,1
三,sān,三个,1
四,sì,四季,1
五,wǔ,五星,1
六,liù,六月,1
七,qī,七天,1
八,bā,八岁,1
九,jiǔ,九月,1
十,shí,十个,1
人,rén,大人,1
口,kǒu,口水,1
手,shǒu,小手,1
足,zú,足球,1
耳,ěr,耳朵,1
目,mù,目光,1
日,rì,生日,1
月,yuè,月亮,1
水,shuǐ,水壶,1
火,huǒ,火车,1
山,shān,大山,1
木,mù,木头,1
土,tǔ,土地,1
田,tián,田地,1
天,tiān,天空,1
云,yún,白云,1
风,fēng,风车,1
雨,yǔ,下雨,1
大,dà,大家,1
小,xiǎo,小心,1
多,duō,许多,1
少,shǎo,多少,1
上,shàng,上学,1
下,xià,下山,1
花,huā,花朵,1
鸟,niǎo,飞鸟,1
鱼,yú,小鱼,1
虫,chóng,虫子,1
爸,bà,爸爸,1
妈,mā,妈妈,1
马,mǎ,马车,1
牛,niú,小牛,1
羊,yáng,山羊,1
女,nǚ,女孩,1
子,zǐ,孩子,1
好,hǎo,好人,1
白,bái,白天,1
石,shí,石头,1
吃,chī,吃饭,2
喝,hē,喝水,2
跑,pǎo,跑步,2
跳,tiào,跳高,2
飞,fēi,飞机,2
走,zǒu,走路,2
坐,zuò,坐下,2
立,lì,立正,2
睡,shuì,睡觉,2
起,qǐ,起床,2
来,lái,来到,2
去,qù,回去,2
出,chū,出门,2
入,rù,入场,2
开,kāi,开门,2
关,guān,关门,2
门,mén,大门,2
窗,chuāng,窗户,2
床,chuáng,小床,2
房,fáng,房子,2
车,chē,汽车,2
船,chuán,小船,2
伞,sǎn,雨伞,2
书,shū,书本,2
画,huà,画画,2
纸,zhǐ,白纸,2
笔,bǐ,毛笔,2
爷,yé,爷爷,2
奶,nǎi,牛奶,2
哥,gē,哥哥,2
弟,dì,弟弟,2
姐,jiě,姐姐,2
妹,mèi,妹妹,2
叔,shū,叔叔,2
姨,yí,阿姨,2
猫,māo,小猫,2
狗,gǒu,小狗,2
鸡,jī,小鸡,2
鸭,yā,鸭子,2
鹅,é,白鹅,2
猪,zhū,小猪,2
兔,tù,白兔,2
猴,hóu,猴子,2
春,chūn,春天,2
夏,xià,夏天,2
秋,qiū,秋天,2
冬,dōng,冬天,2
东,dōng,东方,2
西,xī,西瓜,2
南,nán,南方,2
北,běi,北方,2
红,hóng,红花,2
黄,huáng,黄色,2
蓝,lán,蓝天,2
绿,lǜ,绿叶,2
黑,hēi,黑夜,2
师,shī,老师,2
生,shēng,学生,2
朋,péng,朋友,2
友,yǒu,好友,2
谢,xiè,谢谢,2
请,qǐng,请坐,2
米,mǐ,大米,2
豆,dòu,豆子,2
果,guǒ,水果,2
瓜,guā,西瓜,2
菜,cài,青菜,2
说,shuō,说话,2
话,huà,听话,2
听,tīng,好听,2
看,kàn,看见,2
写,xiě,写字,2
读,dú,读书,2
你,nǐ,你好,2
我,wǒ,我们,2
他,tā,他们,2
她,tā,她们,2
明,míng,明天,2
晚,wǎn,晚上,2
早,zǎo,早上,2
树,shù,大树,3
草,cǎo,青草,3
