minibus,minibus,小巴士,/ˈmɪnibʌs/,vehicles,1f68d,
tuktuk,tuk-tuk,嘟嘟车,/ˈtʊktʊk/,vehicles,1f6fa,
parachute,parachute,降落伞,/ˈpærəʃuːt/,vehicles,1fa82,
glider,glider,滑翔机,/ˈɡlaɪdə/,vehicles,1f6e9_fe0f,
monorail,monorail,单轨列车,/ˈmɒnəʊreɪl/,vehicles,1f69d,
mountain railway,mountain railway,登山火车,/ˈmaʊntən ˈreɪlweɪ/,vehicles,1f69e,
trolleybus,trolleybus,无轨电车,/ˈtrɒlibʌs/,vehicles,1f68e,
railcar,railway car,火车车厢,/ˈreɪlweɪ kɑː/,vehicles,1f683,
skateboard,skateboard,滑板,/ˈskeɪtbɔːd/,vehicles,1f6f9,
roller skate,roller skate,轮滑鞋,/ˈrəʊlə skeɪt/,vehicles,1f6fc,
seedling,seedling,幼苗,/ˈsiːdlɪŋ/,nature,1f331,
herb,herb,香草,/hɜːb/,nature,1f33f,
clover,clover,三叶草,/ˈkləʊvə/,nature,1f340,
leaf,leaf,树叶,/liːf/,nature,1f343,
fallen leaf,fallen leaf,落叶,/ˈfɔːlən liːf/,nature,1f342,
maple leaf,maple leaf,枫叶,/ˈmeɪpl liːf/,nature,1f341,
bouquet,bouquet,花束,/buːˈkeɪ/,nature,1f490,
tulip,tulip,郁金香,/ˈtjuːlɪp/,nature,1f337,
rose,rose,玫瑰,/rəʊz/,nature,1f339,
sunflower,sunflower,向日葵,/ˈsʌnflaʊə/,nature,1f33b,
blossom,blossom,小雏菊,/ˈblɒsəm/,nature,1f33c,
hibiscus,hibiscus,木槿花,/hɪˈbɪskəs/,nature,1f33a,
chestnut,chestnut,栗子,/ˈtʃesnʌt/,nature,1f330,
palm tree,palm tree,椰子树,/pɑːm triː/,nature,1f334,
evergreen,evergreen,常绿树,/ˈevəɡriːn/,nature,1f332,
desert,desert,沙漠,/ˈdezət/,nature,1f3dc_fe0f,
island,island,海岛,/ˈaɪlənd/,nature,1f3dd_fe0f,
national park,national park,国家公园,/ˈnæʃnəl pɑːk/,nature,1f3de_fe0f,
rock,rock,岩石,/rɒk/,nature,1faa8,
fish,fish,鱼,/fɪʃ/,ocean,1f41f,
tropical fish,tropical fish,热带鱼,/ˈtrɒpɪkl fɪʃ/,ocean,1f420,
blowfish,blowfish,河豚,/ˈbləʊfɪʃ/,ocean,1f421,
