char,emoji
一,0031_20e3
二,0032_20e3
三,0033_20e3
四,0034_20e3
五,0035_20e3
六,0036_20e3
七,0037_20e3
八,0038_20e3
九,0039_20e3
十,1f51f
人,1f9d1
口,1f444
手,270b
足,26bd
耳,1f442
目,1f441_fe0f
日,1f382
月,1f319
水,1f4a7
火,1f682
山,26f0_fe0f
木,1fab5
田,1f33e
天,1f324_fe0f
云,2601
风,1f32c
雨,1f327_fe0f
小,26a0_fe0f
上,2b06_fe0f
下,2b07_fe0f
花,1f338
鸟,1f426
鱼,1f41f
虫,1f41b
爸,1f468
妈,1f469
马,1f40e
牛,1f402
羊,1f410
女,1f467
子,1f476
好,1f496
白,26aa
石,1faa8
吃,1f35c
喝,1f964
跑,1f3c3
跳,1f938
飞,2708_fe0f
走,1f6b6
坐,1f9d8
立,1f9cd
睡,1f634
来,1f44b
出,1f4e4
入,1f4e5
开,1f513
关,1f512
门,1f6aa
窗,1fa9f
床,1f6cf_fe0f
房,1f3e0
车,1f697
船,26f5
伞,2602_fe0f
书,1f4d6
画,1f5bc_fe0f
纸,1f4c4
笔,270f_fe0f
爷,1f474
奶,1f95b
哥,1f466
弟,1f9d2
姐,1f467
妹,1f476
叔,1f9d4
姨,1f469
猫,1f431
狗,1f436
鸡,1f414
鸭,1f986
鹅,1f9a2
猪,1f437
兔,1f430
猴,1f412
春,1f337
夏,1f3d6_fe0f
秋,1f342
冬,2744_fe0f
东,1f305
西,1f349
南,1f334
北,1f9ed
红,1f33a
黄,1f7e8
蓝,1f7e6
绿,1f7e9
黑,2b1b
师,1f9d1_200d_1f3eb
生,1f392
朋,1f46d
友,1f91d
谢,1f64f
请,1f64b
米,1f35a
豆,1fad8
果,1f34f
瓜,1f349
菜,1f96c
说,1f5e3
话,1f4ac
听,1f9bb
看,1f440
写,270d_fe0f
读,1f4da
我,1f64c
你,1f449
他,1f935
她,1f470
明,1f31b
晚,1f31c
早,1f95e
树,1f333
草,1f33f
叶,1f343
森,1f332
林,1f38b
河,1f30a
海,1f433
洋,1f30f
岛,1f3dd
池,1fab7
晴,1f31e
阴,1f325_fe0f
雪,2744_fe0f
电,1f4fa
雾,1f32b
虹,1f308
时,23f0
分,23f1
今,1f4c5
昨,23ea
象,1f418
狮,1f981
熊,1f43b
狼,1f43a
鹿,1f98c
蛇,1f40d
鼠,1f42d
蚁,1f41c
蝶,1f98b
蜂,1f41d
心,2764_fe0f
骨,1f9b4
肉,1f356
校,1f3eb
班,1f9d1_200d_1f393
课,1f4dd
本,1f4d7
字,1f524
句,1f4cb
教,1f469_200d_1f3eb
问,2753
答,2705
高,1f973
兴,26a1
哭,1f622
笑,1f604
怕,1f628
城,1f3d9_fe0f
村,1f3d8_fe0f
街,1f68f
医,1f3e5
院,1fab4
店,1f3ea
面,1f35e
饭,1f371
蛋,1f95a
油,26fd
盐,1f9c2
糖,1f36c
茶,1f375
椅,1f4ba
碗,1f963
盘,1f37d_fe0f
杯,2615
锅,1f373
灯,1f4a1
沙,1f3dc_fe0f
光,1f31f
声,1f50a
色,1f3a8
甜,1f36d
苦,1f641
辣,1f336_fe0f
圆,2b55
快,1f680
慢,1f40c
近,1f50d
美,1f99a
丑,1f921
新,1f195
旧,1f4fc
净,1f9fc
脏,1f922
满,1f235
百,1f4af
元,1fa99
斤,2696_fe0f
音,1f3b5
歌,1f3a4
舞,1f483
球,26bd
赛,1f3c6
运,1f3cb_fe0f
力,1f4aa
洲,1f30e
陆,1f3d4
霜,1f9ca
露,1f4a6
雷,26c8
晨,1f413
夜,1f989
军,1f482
警,1f693
农,1f469_200d_1f33e
工,1f477
商,1f3ec
礼,1f381
让,1f6d1
勇,1f9b8
惊,1f62f
喜,1f49d
搬,1f4e6
接,1f932
送,1f4e9
勤,1f9f9
劳,1f6e0_fe0f
秒,231a
度,1f321_fe0f
邻,1f3e1
居,1f3e1
国,1f1e8_1f1f3
旗,1f6a9
庆,1f386
祝,1f38e
贺,1f389
拳,1f94a
掌,1f91a
琴,1f3b9
棋,265f_fe0f
墨,1f58a_fe0f
诗,1f4dc
智,1f9e0
慧,1f4a1
良,1f44d
善,1f607
念,1f4ad
去,1f463
方,2b1c
远,1f52d
顽,1f61c
皮,1f61c
信,1f48c
