fishing,fishing,钓鱼,/ˈfɪʃɪŋ/,sports,1f3a3,
boxing,boxing,拳击,/ˈbɒksɪŋ/,sports,1f94a,
karate,karate,空手道,/kəˈrɑːti/,sports,1f94b,
skating,skating,滑冰,/ˈskeɪtɪŋ/,sports,26f8,
snowboarding,snowboarding,单板滑雪,/ˈsnəʊbɔːdɪŋ/,sports,1f3c2,
surfing,surfing,冲浪,/ˈsɜːfɪŋ/,sports,1f3c4,
rowing,rowing,划船,/ˈrəʊɪŋ/,sports,1f6a3,
climbing,climbing,攀岩,/ˈklaɪmɪŋ/,sports,1f9d7,
fencing,fencing,击剑,/ˈfensɪŋ/,sports,1f93a,
horse racing,horse racing,赛马,/hɔːs ˈreɪsɪŋ/,sports,1f3c7,
billiards,billiards,台球,/ˈbɪliədz/,sports,1f3b1,
frisbee,frisbee,飞盘,/ˈfrɪzbiː/,sports,1f94f,
hockey,hockey,冰球,/ˈhɒki/,sports,1f3d2,
cricket2,cricket,板球,/ˈkrɪkɪt/,sports,1f3cf,
lacrosse,lacrosse,长曲棍球,/ləˈkrɒs/,sports,1f94d,
field hockey,field hockey,曲棍球,/fiːld ˈhɒki/,sports,1f3d1,
handball,handball,手球,/ˈhændbɔːl/,sports,1f93e,
water polo,water polo,水球,/ˈwɔːtə ˈpəʊləʊ/,sports,1f93d,
weightlifting,weightlifting,举重,/ˈweɪtlɪftɪŋ/,sports,26f9_fe0f,
skateboarding,skateboarding,滑板运动,/ˈskeɪtbɔːdɪŋ/,sports,1f6f9,
flute,flute,长笛,/fluːt/,music,1fa88,
accordion,accordion,手风琴,/əˈkɔːdiən/,music,1fa97,
notes,notes,音符,/nəʊts/,music,1f3b6,
musical score,musical score,乐谱,/ˈmjuːzɪkl skɔː/,music,1f3bc,
doctor,doctor,医生,/ˈdɒktə/,jobs,1f9d1_200d_2695_fe0f,
farmworker,farmworker,农场工人,/ˈfɑːmwɜːkə/,jobs,1f9d1_200d_1f33e,
cook,cook,厨师,/kʊk/,jobs,1f9d1_200d_1f373,
teacher,teacher,老师,/ˈtiːtʃə/,jobs,1f9d1_200d_1f3eb,
firefighter,firefighter,消防员,/ˈfaɪəfaɪtə/,jobs,1f9d1_200d_1f692,
pilot,pilot,飞行员,/ˈpaɪlət/,jobs,1f9d1_200d_2708_fe0f,
scientist,scientist,科学家,/ˈsaɪəntɪst/,jobs,1f9d1_200d_1f52c,
artist,artist,画家,/ˈɑːtɪst/,jobs,1f9d1_200d_1f3a8,
singer,singer,歌手,/ˈsɪŋə/,jobs,1f9d1_200d_1f3a4,
mechanic,mechanic,修理工,/məˈkænɪk/,jobs,1f9d1_200d_1f527,
judge,judge,法官,/dʒʌdʒ/,jobs,1f9d1_200d_2696_fe0f,
factory worker,factory worker,工厂工人,/ˈfæktəri ˈwɜːkə/,jobs,1f9d1_200d_1f3ed,
detective,detective,侦探,/dɪˈtektɪv/,jobs,1f575_fe0f,
guard,guard,卫兵,/ɡɑːd/,jobs,1f482,
astronaut,astronaut,宇航员,/ˈæstrənɔːt/,jobs,1f9d1_200d_1f680,
soldier,soldier,士兵,/ˈsəʊldʒə/,jobs,,soldier
nurse,nurse,护士,/nɜːs/,jobs,,nurse
dentist,dentist,牙医,/ˈdentɪst/,jobs,,dentist
barber,barber,理发师,/ˈbɑːbə/,jobs,,barber
waiter,waiter,服务员,/ˈweɪtə/,jobs,,waiter
librarian,librarian,图书管理员,/laɪˈbreəriən/,jobs,,librarian
engineer,engineer,工程师,/ˌendʒɪˈnɪə/,jobs,,engineer
driver,driver,司机,/ˈdraɪvə/,jobs,,driver
postman,postman,邮递员,/ˈpəʊstmən/,jobs,,postman
conductor,conductor,指挥家,/kənˈdʌktə/,jobs,,conductor
vet,vet,兽医,/vet/,jobs,,vet
captain,captain,船长,/ˈkæptɪn/,jobs,,captain
coach,coach,教练,/kəʊtʃ/,jobs,,coach
reporter,reporter,记者,/rɪˈpɔːtə/,jobs,,reporter
tailor,tailor,裁缝,/ˈteɪlə/,jobs,,tailor
planet,planet,行星,/ˈplænɪt/,space,1fa90,
comet,comet,彗星,/ˈkɒmɪt/,space,2604_fe0f,
satellite,satellite,人造卫星,/ˈsætəlaɪt/,space,1f6f0_fe0f,
shooting star,shooting star,流星,/ˈʃuːtɪŋ stɑː/,space,1f320,
galaxy,galaxy,银河,/ˈɡæləksi/,space,1f30c,
telescope,telescope,望远镜,/ˈtelɪskəʊp/,space,1f52d,
black hole,black hole,黑洞,/blæk həʊl/,space,,black hole
space station,space station,空间站,/speɪs ˈsteɪʃn/,space,,space station
asteroid,asteroid,小行星,/ˈæstərɔɪd/,space,,asteroid
meteor,meteor,陨石,/ˈmiːtiə/,space,,meteor
orbit,orbit,轨道,/ˈɔːbɪt/,space,,orbit
spacesuit,spacesuit,宇航服,/ˈspeɪssuːt/,space,,spacesuit
princess,princess,公主,/ˌprɪnˈses/,characters,1f478,
prince,prince,王子,/prɪns/,characters,1f934,
mermaid,mermaid,美人鱼,/ˈmɜːmeɪd/,characters,1f9dc,
genie,genie,灯神,/ˈdʒiːni/,characters,1f9de,
zombie,zombie,僵尸,/ˈzɒmbi/,characters,1f9df,
vampire,vampire,吸血鬼,/ˈvæmpaɪə/,characters,1f9db,
elf,elf,精灵,/elf/,characters,1f9dd,
ogre,ogre,食人魔,/ˈəʊɡə/,characters,1f479,
goblin,goblin,小妖怪,/ˈɡɒblɪn/,characters,1f47a,
angel,angel,天使,/ˈeɪndʒəl/,characters,1f47c,
ninja,ninja,忍者,/ˈnɪndʒə/,characters,1f977,
dragon,dragon,龙,/ˈdræɡən/,characters,1f409,
screwdriver,screwdriver,螺丝刀,/ˈskruːdraɪvə/,tools,1fa9b,
bolt,bolt,螺栓,/bəʊlt/,tools,1f529,
gear,gear,齿轮,/ɡɪə/,tools,2699_fe0f,
saw,saw,锯子,/sɔː/,tools,1fa9a,
axe,axe,斧头,/æks/,tools,1fa93,
magnet,magnet,磁铁,/ˈmæɡnət/,tools,1f9f2,
rope,rope,绳子,/rəʊp/,tools,1faa2,
chain,chain,链条,/tʃeɪn/,tools,26d3_fe0f,
brick,brick,砖头,/brɪk/,tools,1f9f1,
fire extinguisher,fire extinguisher,灭火器,/ˈfaɪə ɪkˈstɪŋɡwɪʃə/,tools,1f9ef,
oil drum,oil drum,油桶,/ɔɪl drʌm/,tools,1f6e2_fe0f,
compass,compass,指南针,/ˈkʌmpəs/,tools,1f9ed,
shovel,shovel,铲子,/ˈʃʌvl/,tools,,shovel
drill,drill,电钻,/drɪl/,tools,,drill
nail,nail,钉子,/neɪl/,tools,,nail
pliers,pliers,老虎钳,/ˈplaɪəz/,tools,,pliers
toolbox,toolbox,工具箱,/ˈtuːlbɒks/,tools,,toolbox
