prep-behind,behind,在……后面,/bɪˈhaɪnd/,prepositions,,behind
prep-beside,beside,在……旁边,/bɪˈsaɪd/,prepositions,,beside
prep-between,between,在……之间,/bɪˈtwiːn/,prepositions,,between
prep-next to,next to,在……旁边,/nekst tuː/,prepositions,,next to
prep-in front of,in front of,在……前面,/ɪn frʌnt əv/,prepositions,,in front of
prep-through,through,穿过,/θruː/,prepositions,,through
prep-across,across,横过,/əˈkrɒs/,prepositions,,across
prep-along,along,沿着,/əˈlɒŋ/,prepositions,,along
prep-toward,toward,朝向,/təˈwɔːd/,prepositions,,toward
prep-against,against,靠着,/əˈɡenst/,prepositions,,against
prep-among,among,在……之中,/əˈmʌŋ/,prepositions,,among
prep-beyond,beyond,超出,/bɪˈjɒnd/,prepositions,,beyond
prep-during,during,在……期间,/ˈdjʊərɪŋ/,prepositions,,during
prep-without,without,没有,/wɪˈðaʊt/,prepositions,,without
prep-out of,out of,从……出去,/aʊt əv/,prepositions,,out of
prep-underneath,underneath,在……底下,/ˌʌndəˈniːθ/,prepositions,,underneath
prep-instead of,instead of,代替,/ɪnˈsted əv/,prepositions,,instead of
prep-on top of,on top of,在……上面,/ɒn tɒp əv/,prepositions,,on top of
prep-in the middle of,in the middle of,在……中间,/ɪn ðə ˈmɪdl əv/,prepositions,,in the middle of
prep-at the back of,at the back of,在……后部,/æt ðə bæk əv/,prepositions,,at the back of
ord-second,second,第二,/ˈsekənd/,ordinals,,second
ord-third,third,第三,/θɜːd/,ordinals,,third
ord-fourth,fourth,第四,/fɔːθ/,ordinals,,fourth
ord-fifth,fifth,第五,/fɪfθ/,ordinals,,fifth
ord-sixth,sixth,第六,/sɪksθ/,ordinals,,sixth
ord-seventh,seventh,第七,/ˈsevnθ/,ordinals,,seventh
ord-eighth,eighth,第八,/eɪtθ/,ordinals,,eighth
ord-ninth,ninth,第九,/naɪnθ/,ordinals,,ninth
ord-tenth,tenth,第十,/tenθ/,ordinals,,tenth
ord-eleventh,eleventh,第十一,/ɪˈlevnθ/,ordinals,,eleventh
ord-twelfth,twelfth,第十二,/twelfθ/,ordinals,,twelfth
ord-thirteenth,thirteenth,第十三,/ˌθɜːˈtiːnθ/,ordinals,,thirteenth
