golden,golden,金色,/ˈɡəʊldən/,colors,,golden
silver,silver,银色,/ˈsɪlvə/,colors,,silver
elbow,elbow,手肘,/ˈelbəʊ/,body,,elbow
neck,neck,脖子,/nek/,body,,neck
chest,chest,胸部,/tʃest/,body,,chest
waist,waist,腰部,/weɪst/,body,,waist
pomegranate,pomegranate,石榴,/ˈpɒmɪɡrænɪt/,fruits,,pomegranate
fig,fig,无花果,/fɪɡ/,fruits,,fig
guava,guava,番石榴,/ˈɡwɑːvə/,fruits,,guava
papaya,papaya,木瓜,/pəˈpaɪə/,fruits,,papaya
lychee,lychee,荔枝,/ˌliːˈtʃiː/,fruits,,lychee
longan,longan,龙眼,/ˈlɒŋɡən/,fruits,,longan
domino,domino,多米诺骨牌,/ˈdɒmɪnəʊ/,toys,,domino
checkers,checkers,跳棋,/ˈtʃekəz/,toys,,checkers
jump rope,jump rope,跳绳,/dʒʌmp rəʊp/,toys,,jump rope
hula hoop,hula hoop,呼啦圈,/ˈhuːlə huːp/,toys,,hula hoop
button,button,纽扣,/ˈbʌtn/,clothes,,button
zipper,zipper,拉链,/ˈzɪpə/,clothes,,zipper
pocket,pocket,口袋,/ˈpɒkɪt/,clothes,,pocket
sleeve,sleeve,袖子,/sliːv/,clothes,,sleeve
doorbell,doorbell,门铃,/ˈdɔːbel/,home,,doorbell
bench,bench,长凳,/bentʃ/,home,,bench
milk tea,milk tea,奶茶,/mɪlk tiː/,drinks,,milk tea
iced tea,iced tea,冰茶,/aɪst tiː/,drinks,,iced tea
toffee,toffee,太妃糖,/ˈtɒfi/,desserts,,toffee
sorbet,sorbet,雪葩,/ˈsɔːbeɪ/,desserts,,sorbet
recess,recess,课间休息,/rɪˈses/,school,,recess
class,class,班级,/klɑːs/,school,,class
dim sum,dim sum,广式点心,/ˌdɪm ˈsʌm/,food,,dim sum
hot pot,hot pot,火锅,/hɒt pɒt/,food,,hot pot
yam,yam,山药,/jæm/,vegetables,,yam
taro,taro,芋头,/ˈtɑːrəʊ/,vegetables,,taro
friend,friend,朋友,/frend/,family,,friend
best friend,best friend,最好的朋友,/best frend/,family,,best friend
teacup,teacup,茶杯,/ˈtiːkʌp/,kitchen,,teacup
dish,dish,碟子,/dɪʃ/,kitchen,1f37d,dish
Monday,Monday,星期一,/ˈmʌndeɪ/,time,,Monday
Tuesday,Tuesday,星期二,/ˈtjuːzdeɪ/,time,,Tuesday
Wednesday,Wednesday,星期三,/ˈwenzdeɪ/,time,,Wednesday
Thursday,Thursday,星期四,/ˈθɜːzdeɪ/,time,,Thursday
Friday,Friday,星期五,/ˈfraɪdeɪ/,time,,Friday
Saturday,Saturday,星期六,/ˈsætədeɪ/,time,,Saturday
Sunday,Sunday,星期日,/ˈsʌndeɪ/,time,,Sunday
storm,storm,风暴,/stɔːm/,nature,26c8,storm
sunshine,sunshine,阳光,/ˈsʌnʃaɪn/,nature,,sunshine
lighthouse,lighthouse,灯塔,/ˈlaɪthaʊs/,places,,lighthouse
harbor,harbor,海港,/ˈhɑːbə/,places,,harbor
garbage truck,garbage truck,垃圾车,/ˈɡɑːbɪdʒ trʌk/,vehicles,,garbage truck
tow truck,tow truck,拖车,/təʊ trʌk/,vehicles,,tow truck
tide,tide,潮汐,/taɪd/,ocean,,tide
splash,splash,浪花,/splæʃ/,ocean,1f4a6,splash
nest,nest,鸟巢,/nest/,birds,1faba,nest
bus stop,bus stop,公交车站,/bʌs stɒp/,city,,bus stop
taxi stand,taxi stand,出租车站,/ˈtæksi stænd/,city,,taxi stand
city-square,city square,广场,/ˌsɪti ˈskweə/,city,,city square
street,street,街道,/striːt/,city,,street
willow,willow,柳树,/ˈwɪləʊ/,forest,,willow
vine,vine,藤蔓,/vaɪn/,forest,,vine
acorn,acorn,橡子,/ˈeɪkɔːn/,forest,,acorn
pine,pine,松树,/paɪn/,forest,,pine
herd,herd,兽群,/hɜːd/,farm,,herd
termite,termite,白蚁,/ˈtɜːmaɪt/,insects,,termite
moth,moth,飞蛾,/mɒθ/,insects,,moth
flea,flea,跳蚤,/fliː/,insects,,flea
locust,locust,蝗虫,/ˈləʊkəst/,insects,,locust
robin,robin,知更鸟,/ˈrɒbɪn/,birds,,robin
quail,quail,鹌鹑,/kweɪl/,birds,,quail
toucan,toucan,巨嘴鸟,/ˈtuːkən/,birds,,toucan
stingray,stingray,魟鱼,/ˈstɪŋreɪ/,ocean,,stingray
swordfish,swordfish,剑鱼,/ˈsɔːdfɪʃ/,ocean,,swordfish
harmonica,harmonica,口琴,/ˌhɑːməˈkɒnɪk/,music,,harmonica
ukulele,ukulele,尤克里里,/ˌjuːkəˈleɪli/,music,,ukulele
sore throat,sore throat,嗓子疼,/sɔː θrəʊt/,health,,sore throat
runny nose,runny nose,流鼻涕,/ˈrʌni nəʊz/,health,,runny nose
toothache,toothache,牙疼,/ˈtuːθeɪk/,health,,toothache
first aid,first aid,急救,/fɜːst eɪd/,health,,first aid
dancer,dancer,舞蹈家,/ˈdɑːnsə/,jobs,,dancer
fisherman,fisherman,渔夫,/ˈfɪʃəmən/,jobs,,fisherman
smart speaker,smart speaker,智能音箱,/smɑːt ˈspiːkə/,electronics,,smart speaker
power bank,power bank,充电宝,/ˈpaʊə bæŋk/,electronics,,power bank
