at-mat,mat,垫子,/mæt/,wordfamilies,,mat
at-fat,fat,胖的,/fæt/,wordfamilies,,fat
at-sat,sat,坐（sit 的过去式）,/sæt/,wordfamilies,,sat
at-pat,pat,轻拍,/pæt/,wordfamilies,,pat
an-man,man,男人,/mæn/,wordfamilies,,man
an-can,can,能；会,/kæn/,wordfamilies,,can
an-fan,fan,风扇；粉丝,/fæn/,wordfamilies,,fan
an-ran,ran,跑（run 的过去式）,/ræn/,wordfamilies,,ran
ap-nap,nap,小睡,/næp/,wordfamilies,,nap
ap-tap,tap,水龙头,/tæp/,wordfamilies,,tap
ap-lap,lap,膝上；一圈,/læp/,wordfamilies,,lap
ap-gap,gap,缺口,/ɡæp/,wordfamilies,,gap
ad-had,had,有（have 的过去式）,/hæd/,wordfamilies,,had
ad-mad,mad,生气的,/mæd/,wordfamilies,,mad
ad-pad,pad,垫子；便笺本,/pæd/,wordfamilies,,pad
ad-sad,sad,悲伤的,/sæd/,wordfamilies,,sad
ag-bag,bag,包,/bæɡ/,wordfamilies,,bag
ag-tag,tag,标签,/tæɡ/,wordfamilies,,tag
ag-rag,rag,抹布,/ræɡ/,wordfamilies,,rag
ag-wag,wag,摇（尾巴）,/wæɡ/,wordfamilies,,wag
ag-lag,lag,落在后面,/læɡ/,wordfamilies,,lag
am-ham,ham,火腿,/hæm/,wordfamilies,,ham
am-ram,ram,公羊,/ræm/,wordfamilies,,ram
am-yam,yam,山药,/jæm/,wordfamilies,,yam
am-dam,dam,水坝,/dæm/,wordfamilies,,dam
ab-cab,cab,出租车,/kæb/,wordfamilies,,cab
ab-lab,lab,实验室,/læb/,wordfamilies,,lab
ab-jab,jab,戳；刺,/dʒæb/,wordfamilies,,jab
ab-dab,dab,轻点；轻涂,/dæb/,wordfamilies,,dab
ab-tab,tab,标签；搭扣,/tæb/,wordfamilies,,tab
ix-fix,fix,修理,/fɪks/,wordfamilies,,fix
ix-mix,mix,混合,/mɪks/,wordfamilies,,mix
it-bit,bit,一点儿,/bɪt/,wordfamilies,,bit
it-fit,fit,合身；适合,/fɪt/,wordfamilies,,fit
it-hit,hit,打；击中,/hɪt/,wordfamilies,,hit
it-kit,kit,工具箱,/kɪt/,wordfamilies,,kit
it-pit,pit,坑；果核,/pɪt/,wordfamilies,,pit
it-sit,sit,坐,/sɪt/,wordfamilies,,sit
in-bin,bin,垃圾箱,/bɪn/,wordfamilies,,bin
in-fin,fin,鱼鳍,/fɪn/,wordfamilies,,fin
in-pin,pin,别针,/pɪn/,wordfamilies,,pin
in-tin,tin,罐头盒,/tɪn/,wordfamilies,,tin
ig-dig,dig,挖,/dɪɡ/,wordfamilies,,dig
ig-fig,fig,无花果,/fɪɡ/,wordfamilies,,fig
ig-wig,wig,假发,/wɪɡ/,wordfamilies,,wig
ip-dip,dip,蘸一蘸,/dɪp/,wordfamilies,,dip
ip-hip,hip,胯部,/hɪp/,wordfamilies,,hip
ip-lip,lip,嘴唇,/lɪp/,wordfamilies,,lip
ip-rip,rip,撕开,/rɪp/,wordfamilies,,rip
ip-tip,tip,尖端,/tɪp/,wordfamilies,,tip
ip-zip,zip,拉链,/zɪp/,wordfamilies,,zip
og-log,log,原木,/lɒɡ/,wordfamilies,,log
og-jog,jog,慢跑,/dʒɒɡ/,wordfamilies,,jog
og-hog,hog,大猪,/hɒɡ/,wordfamilies,,hog
op-hop,hop,单脚跳,/hɒp/,wordfamilies,,hop
op-mop,mop,拖把,/mɒp/,wordfamilies,,mop
op-top,top,顶部,/tɒp/,wordfamilies,,top
op-pop,pop,砰；爆开,/pɒp/,wordfamilies,,pop
op-cop,cop,警察,/kɒp/,wordfamilies,,cop
ot-cot,cot,婴儿床,/kɒt/,wordfamilies,,cot
ot-dot,dot,圆点,/dɒt/,wordfamilies,,dot
