id,stage,en,zh,emoji
es34-there-books,g34,There are three books on the desk.,桌子上有三本书。,1f4da
es34-goes-by-bus,g34,My mother goes to work by bus.,我妈妈坐公交车去上班。,1f68c
es34-get-up-seven,g34,I usually get up at seven.,我通常七点起床。,23f0
es34-boy-football,g34,The boy is playing football in the park.,这个男孩在公园里踢足球。,26bd
es34-music-monday,g34,We have music class on Monday.,我们星期一有音乐课。,1f3b5
es34-likes-story-books,g34,She likes reading story books.,她喜欢读故事书。,1f4d6
es34-close-window,g34,Please close the window before you go out.,出门前请关上窗户。,1fa9f
es34-father-cooking,g34,My father is cooking dinner in the kitchen.,我爸爸在厨房做晚饭。,1f373
es34-ride-bike,g34,I can ride a bike very well.,我骑车骑得很好。,1f6b2
es34-tree-behind-house,g34,There is a big tree behind our house.,我们家屋后有一棵大树。,1f333
es34-cat-under-chair,g34,The cat is sleeping under the chair.,猫在椅子下面睡觉。,1f431
es34-zoo-sunday,g34,We are going to the zoo this Sunday.,这个星期天我们要去动物园。,1f981
es34-taller-brother,g34,He is taller than his brother.,他比他弟弟高。,1f4cf
es34-homework-after-dinner,g34,I finished my homework after dinner.,我晚饭后做完了作业。,1f4dd
es34-play-basketball,g34,Do you want to play basketball with us?,你想和我们一起打篮球吗？,1f3c0
es34-school-not-far,g34,My school is not far from my home.,我的学校离我家不远。,1f3eb
es34-help-mother,g34,I often help my mother clean the room.,我经常帮妈妈打扫房间。,1f9f9
es34-keep-clean,g34,We should keep the classroom clean.,我们应该保持教室干净。,1f9f9
es34-happy-birthday-party,g34,We had a birthday party for my sister.,我们给妹妹办了一个生日聚会。,1f382
es34-eat-breakfast,g34,It is important to eat breakfast every day.,每天吃早饭很重要。,1f963
