char,emoji
一,1f3de_fe0f
二,2744_fe0f
三,1f34e
四,1f4c5
五,1f467
六,1f3d6_fe0f
七,1f5d3_fe0f
八,1f466
九,1f392
十,1f590
人,1f465
口,1f476
手,1f9fc
足,26bd
耳,1f418
目,1f440
日,1f382
月,1f319
水,1f4a7
火,1f682
山,26f0_fe0f
木,1f9f1
土,1f331
田,1f96c
天,2708_fe0f
云,2601_fe0f
风,1f4a8
雨,1f327_fe0f
大,1f3a4
小,1f6b8
多,1f31f
少,1f46a
上,270f_fe0f
下,1f307
花,1f338
鸟,1f426
鱼,1f41f
虫,1f41b
爸,2764_fe0f
妈,1f35a
马,1f40e
牛,1f42e
羊,1f410
女,1f483
子,1f9f8
好,1f46b
白,1f430
石,1faa8
吃,1f374
喝,1f964
跑,1f3c3
跳,1f438
飞,2708
走,1f6b6
坐,1f68c
立,1f9cd
睡,1f634
起,23f0
来,1f46a
去,1f43c
出,1f423
入,1f3ab
开,1f511
关,1f512
门,1f6aa
窗,1fa9f
床,1f6cf
房,1f3e0
车,1f697
船,26f5
伞,2602
书,1f4d6
画,1f58c
纸,1f4c4
笔,1f58b
爷,1f474
奶,1f95b
哥,1f468
弟,1f9d2
姐,1f3b9
妹,1f467
叔,1f527
姨,1f370
猫,1f408
狗,1f415
鸡,1f425
鸭,1f986
鹅,1f9a2
猪,1f416
兔,1f407
猴,1f435
春,1f337
夏,1f349
秋,1f342
冬,26c4
东,1f305
西,1f307
南,1f54a
北,1f328
红,1f339
黄,1f34c
蓝,1f324
绿,1f7e9
黑,1f311
师,1f469_200d_1f3eb
生,1f392
朋,1f46d
友,1f91d
谢,1f64f
请,1f647
米,1f33e
豆,1fad8
果,1f34f
瓜,1f383
菜,1f96c
说,1f5e3
话,1f4de
听,1f442
看,1f441
写,1f4dd
读,1f4da
你,1f44b
我,1f64b
他,1f46b
她,1f469
明,1f31e
晚,1f31b
早,1f304
树,1f333
草,1f33f
叶,1f343
森,1f332
林,1f43c
河,1f309
海,1f30a
洋,1f420
岛,1f3dd
池,1f41f
晴,2600
阴,2601
雪,2744
电,1f4fa
雾,1f32b
虹,1f308
时,1f550
分,23f1
今,1f4c6
昨,1f5d3
象,1f418
狮,1f981
熊,1f43b
狼,1f43a
鹿,1f98c
蛇,1f40d
鼠,1f42d
蚁,1f41c
蝶,1f98b
蜂,1f41d
蝉,1f997
眉,1f440
心,1f60a
胃,1f912
骨,1f9b4
肉,1f969
校,1f3eb
班,1f46c
课,1f4d3
本,1f4d5
字,1f520
词,1f524
句,1f4ac
帮,1f45e
助,1f64c
教,1f9d1_200d_1f3eb
学,1f4d7
问,2753
答,2705
高,1f603
兴,1f929
哭,1f62d
笑,1f602
怕,1f628
城,1f3d9
村,1f3e1
街,1f6e3
医,1f3e5
院,1fab4
店,1f3ea
面,1f35e
饭,1f372
蛋,1f95a
油,1f64c
盐,1f9c2
糖,1f36c
茶,1f375
桌,1f4ba
椅,1fa91
碗,1f963
盘,1f37d
杯,1f9cb
锅,1f373
灯,1f4a1
沙,1f980
光,1f31e
影,1f463
声,1f3b5
色,1f3a8
甜,1f36f
苦,1f48a
辣,1f336
圆,1f315
方,1f7e6
快,1f434
慢,1f422
远,1f30d
近,1f4cd
里,1f3e0
外,1f4a8
岁,1f389
美,1f338
丑,1f921
新,1f9e8
旧,1f4d6
干,1f9fc
净,2728
脏,1f455
满,1f490
百,1f4af
千,1f522
元,1f4b0
角,1fa99
斤,2696
音,1f3b6
歌,1f3bc
舞,1f57a
球,1f3d0
队,1f465
赛,1f3c1
运,1f3cb
动,2702
洲,1f30f
陆,1f5fa
谷,1f3d4
力,1f4aa
霜,1f9ca
露,1f4a7
雷,26a1
晨,1f304
夜,1f31c
军,1f396
警,1f693
农,1f69c
工,1f3d7
商,1f3ec
礼,1f381
让,1fa91
勇,1f9b8
敢,270b
诚,1f91d
惊,1f632
喜,1f60d
提,2753
搬,1f4e6
挑,1f34e
抬,1f30c
接,1f3c0
送,1f69a
顽,1f412
皮,1f96d
勤,1f41d
劳,1f9f9
度,1f321
秒,23f1
被,1f6cf
把,1f9f8
邻,1f95f
居,1f3e0
国,1f1e8_1f1f3
旗,1f3f3
庆,1f388
祝,1f382
贺,1f4c7
拳,1f44a
掌,1f450
琴,1f3b9
棋,1f3b2
墨,1f58b
砚,1faa8
诗,1f4dc
聪,1f9e0
智,1f9e9
慧,1f4a1
良,1f496
善,1f970
信,1f4e9
念,1f4ad
激,1f64f
