sw-and,and,和,/ænd/,sightwords,,and
sw-away,away,离开；远去,/əˈweɪ/,sightwords,,away
sw-come,come,来,/kʌm/,sightwords,,come
sw-for,for,为了,/fɔː(r)/,sightwords,,for
sw-go,go,去,/ɡəʊ/,sightwords,,go
sw-here,here,这里,/hɪə(r)/,sightwords,,here
sw-is,is,是,/ɪz/,sightwords,,is
sw-it,it,它,/ɪt/,sightwords,,it
sw-little,little,小的,/ˈlɪtl/,sightwords,,little
sw-look,look,看,/lʊk/,sightwords,,look
sw-me,me,我（宾格）,/miː/,sightwords,,me
sw-my,my,我的,/maɪ/,sightwords,,my
sw-play,play,玩,/pleɪ/,sightwords,,play
sw-said,said,说（say 的过去式）,/sed/,sightwords,,said
sw-see,see,看见,/siː/,sightwords,,see
sw-the,the,这个（定冠词）,/ðə/,sightwords,,the
sw-to,to,到；向,/tuː/,sightwords,,to
sw-we,we,我们,/wiː/,sightwords,,we
sw-where,where,哪里,/weə(r)/,sightwords,,where
sw-you,you,你；你们,/juː/,sightwords,,you
sw-all,all,全部；所有,/ɔːl/,sightwords,,all
sw-am,am,是（be 的第一人称）,/æm/,sightwords,,am
sw-are,are,是,/ɑː(r)/,sightwords,,are
sw-at,at,在,/æt/,sightwords,,at
sw-ate,ate,吃（eat 的过去式）,/et/,sightwords,,ate
sw-be,be,是；成为,/biː/,sightwords,,be
sw-but,but,但是,/bʌt/,sightwords,,but
sw-came,came,来（come 的过去式）,/keɪm/,sightwords,,came
sw-did,did,做（do 的过去式）,/dɪd/,sightwords,,did
sw-do,do,做,/duː/,sightwords,,do
sw-get,get,得到,/ɡet/,sightwords,,get
sw-have,have,有,/hæv/,sightwords,,have
sw-he,he,他,/hiː/,sightwords,,he
sw-into,into,到…里面,/ˈɪntuː/,sightwords,,into
sw-like,like,喜欢,/laɪk/,sightwords,,like
sw-must,must,必须,/mʌst/,sightwords,,must
sw-no,no,不,/nəʊ/,sightwords,,no
sw-now,now,现在,/naʊ/,sightwords,,now
sw-on,on,在…上面,/ɒn/,sightwords,,on
sw-our,our,我们的,/ˈaʊə(r)/,sightwords,,our
sw-please,please,请,/pliːz/,sightwords,,please
sw-say,say,说,/seɪ/,sightwords,,say
sw-she,she,她,/ʃiː/,sightwords,,she
sw-so,so,所以,/səʊ/,sightwords,,so
sw-soon,soon,很快,/suːn/,sightwords,,soon
sw-that,that,那个,/ðæt/,sightwords,,that
sw-there,there,那里,/ðeə(r)/,sightwords,,there
sw-they,they,他们,/ðeɪ/,sightwords,,they
sw-this,this,这个,/ðɪs/,sightwords,,this
sw-too,too,也,/tuː/,sightwords,,too
