char,sentence
一,我们一起去公园。
二,二月天气还很冷。
三,我有三个苹果。
四,一年有四个季节。
五,妹妹今年五岁了。
六,六月我们放暑假。
七,一个星期有七天。
八,弟弟今年八岁。
九,九月一号开学啦。
十,我有十个手指。
人,公园里人很多。
口,小宝宝流口水。
手,我的小手真干净。
足,我和爸爸踢足球。
耳,大象的耳朵像扇子。
目,老师的目光很温暖。
日,今天是我的生日。
月,月亮弯弯像小船。
水,多喝水身体好。
火,火车轰隆隆开过。
山,周末我们去爬山。
木,我用积木搭城堡。
土,种子埋进土里。
田,爷爷在田里种菜。
天,飞机飞上天空。
云,白云像棉花糖。
风,今天风真大呀。
雨,下雨了快收衣服。
大,大家一起来唱歌。
小,过马路要小心。
多,天上有许多星星。
少,公园里人不少。
上,铅笔放在桌上。
下,太阳慢慢下山了。
花,公园里花朵开了。
鸟,小鸟在枝头唱歌。
鱼,小鱼在水里游。
虫,虫子在叶子上爬。
爸,我爱爸爸和妈妈。
妈,妈妈做的饭真香。
马,小马在草地上跑。
牛,小牛低头吃青草。
羊,山羊在山顶吃草。
女,小女孩在跳舞。
子,孩子们在做游戏。
好,好朋友手拉手。
白,小白兔爱吃萝卜。
石,河边有许多石头。
吃,我大口大口吃饭。
喝,口渴了要喝水。
跑,小狗跑得真快。
跳,小青蛙跳得真高。
飞,飞机在天上飞。
走,我走路去上学。
坐,坐公交车要抓好扶手。
立,立正站好，不乱动。
睡,天黑了要睡觉。
起,我早上七点起床。
来,我等妈妈回来。
去,我们去动物园看熊猫。
出,小鸡从蛋壳里钻出来了。
入,我们排队入场。
开,我会自己开门。
关,晚上睡觉要关门。
门,弟弟在门口等我。
窗,打开窗户透透气。
床,我躺在床上听故事。
房,我们家的房子很大。
车,马路上的汽车真多。
船,湖面上有一条小船。
伞,出门带把小雨伞。
书,我和爸爸一起看书。
画,我喜欢画画。
纸,白纸上画了一朵花。
笔,我用铅笔写字。
爷,爷爷给我讲故事。
奶,我每天喝一杯牛奶。
哥,哥哥的个子真高。
弟,弟弟在搭积木。
姐,姐姐会弹钢琴。
妹,我陪妹妹玩游戏。
叔,叔叔会修自行车。
姨,阿姨做的蛋糕真好吃。
猫,小猫在窝里睡觉。
狗,小狗见到我摇尾巴。
鸡,小鸡跟着鸡妈妈。
鸭,鸭子在池塘里游水。
鹅,白鹅在水里游泳。
猪,小猪在泥里打滚。
兔,小兔子爱吃胡萝卜。
猴,猴子爱吃桃子。
春,春天来了，花开了。
夏,夏天我爱吃西瓜。
秋,秋天果子熟了。
冬,冬天下雪真好玩。
东,太阳从东方升起。
西,夏天我爱吃西瓜。
南,大雁飞去南方过冬。
北,北方的冬天会下雪。
红,花园里开满红花。
黄,香蕉是黄色的。
蓝,蓝天上飘着白云。
绿,树上长满绿叶。
黑,黑夜里星星亮晶晶。
师,老师教我们唱歌。
生,我是一年级的小学生。
朋,我和好朋友一起玩。
友,我有一个好朋友。
谢,收到礼物要说谢谢。
请,客人来了，请他坐下。
米,热腾腾的米饭真香。
豆,我帮奶奶剥豆子。
果,饭后吃点水果。
瓜,外婆家种的南瓜熟了。
菜,小兔子爱吃青菜。
说,妹妹爱学人说话。
话,妈妈在打电话。
听,这首歌真好听。
看,我看见一只小蝴蝶。
写,我会写自己的名字。
读,睡前读一个小故事。
你,见到老师要说你好。
我,我们一起做游戏。
他,他们在荡秋千。
她,她扎着两个小辫子。
明,明天我们去春游。
晚,晚上睡觉前要刷牙。
早,早上空气真新鲜。
树,大树上有个鸟窝。
草,小羊在山坡吃青草。
叶,我捡了一片树叶。
森,森林里住着小鹿。
林,熊猫在竹林里吃竹子。
河,小河的水清清的。
海,我想去看看大海。
洋,海洋里有很多鱼。
岛,海岛四周都是大海。
池,水池里养着金鱼。
晴,今天是个大晴天。
阴,阴天可能要下雨。
雪,雪花落在我手心上。
电,看电视要离远一点。
雾,早晨的大雾白茫茫。
虹,雨后天空有彩虹。
时,到时间该睡觉了。
分,再玩五分钟就回家。
今,今天妈妈接我放学。
昨,昨天我学会了跳绳。
象,大象的鼻子会喷水。
狮,狮子是森林之王。
熊,小熊抱着蜂蜜罐子。
狼,大灰狼假装成外婆。
鹿,小鹿轻轻地走过草地。
蛇,蟒蛇的身体长长的。
鼠,老鼠最爱偷米吃。
蚁,蚂蚁一起搬豆子。
蝶,蝴蝶在花丛中飞舞。
蜂,蜜蜂嗡嗡飞进花园。
蝉,蝉在树上吱吱叫。
眉,弟弟的眉毛弯弯的。
心,我今天很开心。
胃,吃饭太快胃会疼。
骨,小狗爱啃骨头。
肉,妈妈买了新鲜牛肉。
校,我喜欢我的学校。
班,我们班来了新同学。
课,上课要认真听讲。
本,上学要带好课本。
字,老师教我写生字。
词,我今天学了三个新词语。
句,我会造一个句子。
帮,我帮妈妈拿拖鞋。
助,我是妈妈的小助手。
教,老师教书特别认真。
学,好好学习，天天向上。
问,有不懂的就问老师。
答,我大声回答问题。
高,收到礼物真高兴。
兴,我兴奋得跳了起来。
哭,不要哭，勇敢一点。
笑,弟弟被逗得哈哈大笑。
怕,我不怕打雷了。
城,城市的晚上灯真亮。
村,农村的空气特别好。
街,街道上人来人往。
医,生病了要去医院。
院,爷爷在院子里浇花。
店,我去商店买文具。
面,早餐有牛奶和面包。
饭,吃饭前要洗手。
蛋,我每天吃一个鸡蛋。
油,比赛时大家喊加油。
盐,汤里放一点盐。
糖,糖果好吃不多吃。
茶,爷爷喝茶看报纸。
桌,我的课桌擦得真干净。
椅,请把椅子摆整齐。
碗,我帮妈妈摆碗筷。
盘,盘子里的苹果切好了。
杯,喝完水要把杯子放好。
锅,妈妈用铁锅炒菜。
灯,天黑了要开电灯。
沙,小螃蟹藏在沙子里。
光,阳光照在身上暖暖的。
影,影子跟着我走。
声,钢琴的声音真好听。
色,彩虹有七种颜色。
甜,苹果甜甜的真好吃。
苦,药有点苦，也要喝下去。
辣,辣椒太辣我不敢吃。
圆,十五的月亮圆圆的。
方,积木有方的也有圆的。
快,小马跑得飞快。
慢,上楼梯要慢慢走。
远,山离我们很远。
近,学校离我家很近。
里,家里来了小客人。
外,外面刮大风了。
岁,我今年六岁了。
美,蝴蝶的翅膀真美丽。
丑,小丑的表演真滑稽。
新,新年到了，放鞭炮啦。
旧,这本旧书是爸爸的。
干,把小手洗得干干净净。
净,把手洗干净再吃饭。
脏,别把衣服弄脏了。
满,花瓶里插满了花。
百,我数数能数到一百。
千,一千比一百多得多。
元,妈妈给了我一元钱。
角,我把一角硬币存起来。
斤,一公斤等于两斤。
音,我喜欢听音乐。
歌,我学会了一首新歌。
舞,小妹妹跳舞真好看。
球,我和爸爸拍皮球。
队,排队喝水不推挤。
赛,跑步比赛我得了第一。
运,多运动身体棒。
动,我爱动手做手工。
洲,亚洲是最大的洲。
陆,大象是最大的陆地动物。
谷,山谷里有回声。
力,大象的力气真大。
霜,冬天窗户上有霜花。
露,草叶上挂着露珠。
雷,打雷了快回家。
晨,清晨鸟儿喳喳叫。
夜,夜晚的星星数不清。
军,解放军叔叔站得真直。
警,警察叔叔指挥交通。
农,农民伯伯在田里干活。
工,工人叔叔在盖高楼。
商,我和妈妈逛商场。
礼,见面问好有礼貌。
让,公交车上我让座。
勇,我是个勇敢的孩子。
敢,我敢举手发言了。
诚,诚实的孩子人人夸。
惊,妈妈给了我一个惊喜。
喜,我喜欢看书。
提,老师提问我举手。
搬,我帮爷爷搬花盆。
挑,挑一个最大的苹果。
抬,抬头就能看到蓝天。
接,我稳稳接住了球。
送,快递员送货到家。
顽,顽皮的小猴子荡秋千。
皮,芒果要削皮才能吃。
勤,小蜜蜂真勤劳。
劳,爱劳动的孩子最棒。
度,今天的温度刚刚好。
秒,秒针滴答滴答跑。
被,睡觉要盖好被子。
把,我把玩具收拾好了。
邻,邻居阿姨送来热饺子。
居,鸟儿居住在大树上。
国,我爱我的国家。
旗,升国旗时要立正。
庆,全班一起庆祝六一。
祝,祝你生日快乐。
贺,我亲手做了一张贺卡。
拳,握紧拳头，为自己加油。
掌,妈妈的手掌很温暖。
琴,我每天练二十分钟琴。
棋,我和爷爷下象棋。
墨,写毛笔字要蘸墨水。
砚,砚台是磨墨的文具。
诗,我会背三首古诗。
聪,小猴子真聪明。
智,拼图锻炼我的智力。
慧,动脑筋的人最有智慧。
良,做个善良的好孩子。
善,对小伙伴要友善。
信,有信心就能学会。
念,我想念远方的奶奶。
激,我很感激老师的帮助。
